N menor maior medio primeiroElement ultimoElement
200 0.0000000 0.0000145 0.0000002 0.0000000 0.0000002
20200 0.0000000 0.0007548 0.0000176 0.0000000 0.0000410
40200 0.0000000 0.0012956 0.0000308 0.0000000 0.0000405
60200 0.0000000 0.0003195 0.0000491 0.0000000 0.0001221
80200 0.0000000 0.0018542 0.0000692 0.0000000 0.0000548
100200 0.0000000 0.0022616 0.0000894 0.0000000 0.0001392
120200 0.0000000 0.0034049 0.0001107 0.0000000 0.0001409
140200 0.0000000 0.0024259 0.0001111 0.0000000 0.0001862
160200 0.0000000 0.0024598 0.0001275 0.0000000 0.0003321
180200 0.0000000 0.0025682 0.0001484 0.0000000 0.0004742
